T1,T2,S1,S2,DIC1,DIC2,TA1,TA2,time,pH_surface,pCO2_surface,pH_deep,pCO2_deep
29.232169726145067,6.210699899014073,35.044352391513364,34.0,1997.426680636192,2099.21107050617,2303.719447782248,2399.0778180544703,960,7.991916095805055,457.97443057204816,8.33273162153191,189.76257598515124
28.56492835927211,5.654227212240595,35.29366898694136,34.0,1997.4002842710106,2099.202763162648,2303.7572616920947,2399.0684445770094,970,7.998863369400845,448.8695182296556,8.341790565230253,185.06485014576242
27.49671061140017,5.226214641411781,35.5343047880778,34.0,1997.3738961951071,2099.194454010729,2303.7950567317002,2399.059075817109,980,8.011939816554786,432.8805653206252,8.348776284199918,181.51893231392162
26.059092766888078,4.939314145992409,35.759146654729044,34.0,1997.3475164041101,2099.186143051422,2303.8328329105047,2399.04971177241,990,8.030805569772086,411.11118456654765,8.353467658823481,179.17428875096994
24.294570497679967,4.802006443434089,35.96154830948923,34.0,1997.3211448936565,2099.177830285737,2303.870590237933,2399.040352440554,1000,8.054966071892029,384.97583212131934,8.35571525071344,178.0610046064958
22.255302709463205,4.818350320593679,36.13552680148097,34.0,1997.294781659378,2099.1695157146787,2303.908328723406,2399.030997819182,1010,8.083783402353326,356.0323189235792,8.355447188463582,178.19262065438156
20.001569722395455,4.98786265589403,36.27593936366967,34.0,1997.2684266969136,2099.1611993392594,2303.946048376345,2399.0216479059463,1020,8.116489950289026,325.8194233877108,8.352672040566896,179.5675406652237
17.599991401959137,5.3055327009441084,36.378635430717196,34.0,1997.2420800019029,2099.152881160484,2303.9837492061647,2399.0123026984925,1030,8.15220370343485,295.7243838331951,8.347478471432307,182.16886251244162
15.121557890301304,5.761970197133624,36.44057932879697,34.0,1997.2157415699867,2099.144561179362,2304.0214312222706,2399.002962194462,1040,8.18994482606958,266.89471800428726,8.34003170520376,185.96265035804623
12.63953115385572,6.34368294934561,36.459940009482274,34.0,1997.189411396812,2099.1362393968984,2304.0590944340724,2398.993626391512,1050,8.22865388264935,240.1975589163427,8.330567047180347,190.89483028331705
10.227279372814955,7.033475652811628,36.43614517520823,34.0,1997.1630894780246,2099.1279158140974,2304.0967388509653,2398.984295287287,1060,8.267212819000756,216.22064407642858,8.319380902343811,196.88706297406324
7.956108194345979,7.810958182604917,36.3698981961967,34.0,1997.1367758092733,2099.119590431965,2304.1343644823473,2398.974968879441,1070,8.304470320960153,195.30384264046182,8.306819860673222,203.8321242139892
5.893152953238806,8.65314832131033,36.26315731897514,34.0,1997.1104703862084,2099.1112632515083,2304.171971337609,2398.965647165626,1080,8.33927311798264,177.58865293345076,8.293268477812806,211.58949656322673
4.099394166502282,9.535151108067474,36.1190777810965,34.0,1997.0841732044858,2099.102934273726,2304.2095594261364,2398.956330143494,1090,8.37050400741882,163.0744341600533,8.279136369708592,219.98202067550952
2.6278549611395627,10.430894728634916,35.94191854297789,34.0,1997.0578842597588,2099.094603499627,2304.2471287573107,2398.9470178107013,1100,8.397125899863198,151.67292833906413,8.26484517522735,228.79453759731484
1.5220337214890045,11.31390119299533,35.73691639385304,34.0,1997.0316035476885,2099.0862709302123,2304.2846793405056,2398.9377101649025,1110,8.418229343853376,143.25575351176673,8.25081584307136,237.77543260315662
0.8146182871511446,12.158069018745515,35.51013115344015,34.0,1997.0053310639346,2099.077936566485,2304.322211185094,2398.9284072037553,1120,8.43307929079009,137.69227029396433,8.237456591296317,246.64182800888008
0.526519707484596,12.938444785216845,35.268266545003165,34.0,1996.97906680416,2099.0696004094452,2304.3597243004406,2398.9191089249166,1130,8.441155859302837,134.87718186591792,8.225151788505737,255.08884422598658
